ActivityID,ActivityName
b6dad771-98ef-11e9-90ec-0028f8be90af,Sand_Placement_S10
b6dad772-98ef-11e9-8b33-0028f8be90af,Sand_Placement_S11
b6dad773-98ef-11e9-ad4d-0028f8be90af,Sand_Placement_S12
b6dad774-98ef-11e9-a84f-0028f8be90af,Sand_Placement_S13
b6dad775-98ef-11e9-811d-0028f8be90af,Sand_Placement_S14
b6dafe54-98ef-11e9-9048-0028f8be90af,Sand_Placement_S15
b6dafe55-98ef-11e9-994a-0028f8be90af,Sand_Placement_S16
b6dafe56-98ef-11e9-8990-0028f8be90af,Sand_Placement_S17
b6dafe57-98ef-11e9-9abe-0028f8be90af,Sand_Placement_S18
b6dafe58-98ef-11e9-ae3d-0028f8be90af,Sand_Placement_S19
b6dafe59-98ef-11e9-8bf9-0028f8be90af,Sand_Placement_S20
b6de0b8c-98ef-11e9-9172-0028f8be90af,Armour_Placement_S01_B01
b6de0b8d-98ef-11e9-a300-0028f8be90af,Armour_Placement_S02_B01
b6de0b8e-98ef-11e9-866f-0028f8be90af,Armour_Placement_S03_B01
b6de0b8f-98ef-11e9-9900-0028f8be90af,Armour_Placement_S04_B01
b6de0b90-98ef-11e9-a07c-0028f8be90af,Armour_Placement_S05_B01
b6de32c2-98ef-11e9-84a3-0028f8be90af,Armour_Placement_S06_B01
b6de32c3-98ef-11e9-9b7c-0028f8be90af,Armour_Placement_S07_B01
